H	讲真，汉语配音版也挺有特色，但日文版才有那种“本来就应该是这样”的感觉。
H	很棒，国产动画爆发了！
H	炒鸡好看!!
H	全程电影院笑声不断，笑抽了快，值得十分
H	特别喜欢中国的这类原创，能够代表中国动画，跟大圣归来一样精彩，希望这样好的作品持续下去，走向国际，这也是一种文化遗产，但期待故事的历史性还应该尊重一下。呢呀摸
H	好看(｡･ω･｡)ﾉ♡，有笑点也有泪点，还有非常恶心那个娘不唧唧的起哄的壮汉。人物很饱满，故事也很流畅，好看，好看，非常喜欢，强推(ง •̀㉨•́)ง
H	太厉害了 国漫牛逼！
H	值得观看。。
H	非常完美的，非常好看
H	很好看的，欢乐里带着感人
H	堪称完美！希望国漫越做越好
H	都是儿时的回忆，特别棒
H	到影院的那一刻……看到人头里面有7分是孩童，心里毛了一下……担心正片观影的时候会不会吵到炸天的节奏……全程就两个娃出去尿（我的座位在靠出口处）……灵魂之作…值满星推荐……加油
H	不炫耀的说，这部电影是我看过集搞笑感动感恩特效于一体的中国大型片，非常值得推荐。
H	国漫超震撼。很不错的一步电影
H	带了两个弟弟一起看，最后都觉得很值，没有浪费时间，好看！！
H	完美，国漫。。
H	笑点多，泪点多，整场下来，孩子有哭有笑的.适合一家人看，教育片，启示篇
H	两个字，吹爆！
H	比之前的大圣更好了，就是希望以后国漫里的女性主要角色不要长一张脸，这个殷夫人和之前那个白蛇完全一张脸。
H	我吹爆啊啊啊
H	爆笑 感动 励志 非常值得一看 十分送上
H	帅不过三秒的男主，其他时候真的是丑得让人想掰断他脖子上的狗环！
H	精彩。看的出来此电影创作团队的用心，每个细节把握的很好，小故事大道理。
H	好看，搞笑，特效也很好，很感动。
H	很棒，编辑是神仙么？上一秒笑的扶墙，下一秒又让人找纸擦眼泪。
H	剧情和画面都堪称完美，希望能在国际上看到此片的身影，真的太拿得出手了，中国动画能做到这个程度实在值得骄傲，丝毫不输迪士尼和梦工厂！8月票房冠军没有悬念，当之无愧！
H	铁定创造动画票房记录！
H	良心国产剧。
H	吹爆！这部电影！各个年龄阶段都可以看！打斗激情流畅！
H	目前最好看国漫。
H	评分看来不是骗人的！哈哈哈
H	致敬童年，感恩当下，期许未来
H	真心没的说的，良心之作
H	国漫崛起啊！
H	刚刚刷完，点赞，非常有诚意的作品，改编的不错，故事很多现在流行的梗，很好笑，画面非常有质感，太乙真人的的猪坐骑设计的很有意思，整个故事线和情境的设计有很多出彩细节，可以二刷。
H	总体感觉还可以  有部分泪点
H	故事nb  特效一流   细节完美   无懈可击
H	吹爆的国漫，比起现在的一大堆小说改编的动漫，这种动漫电影简直强到爆
