H	电影里的梗很多，塑造的少年英雄形象生动，荷兰弟好帅，转粉转粉！
L	感觉真的无聊，幼稚，打完灭霸这么吊的角色，开始打无人机了？？？两分给特效。剧情负五分
H	好好看，沉迷漫威系列 [掩面]
H	挺好看的，特效比较好
M	一般般而已的
H	加油！小蜘蛛！
H	很好看，漫威的棋下的有点大
H	ヾ ^_^♪(｡･ω･｡)ﾉ♡(~_~;)
H	emmm，行吧（超级好看）
H	好看 和旧版比起来 轻松幽默 阳光 但是开头托尼出来给我看哭了
H	挺好的就是影院居然没有3D镜片？居然需要买？？
L	不怎么好看、这次怎么把蜘蛛侠拍的跟垃圾一样
H	不错哦，值得一看，是一段的结束，小蜘蛛太帅了
H	能力越大，责任越大。
L	没有想象中的好看，电影过长剧情挺无聊的，特效不错。
H	爱你3000遍
H	蜘蛛侠的电影依然是那么精彩，这次小蜘蛛侠长大了，会深入思考了，当然3D大片的冲击效果非常好，值得一看。
H	都是假的 哈哈哈
H	非常好，很有想象力，仙侠和科幻结合。就是影院眼镜太脏……
H	非常nice的承上启下之作！介绍了漫威接下来全新的格局，全新的打斗方式与全新的故事，期待下一部！
M	总体还是不错的，承上启下，结尾彩蛋给人更多的期待！
H	青春爱情幽默英雄片，这是蜘蛛侠系列最佳无疑。时刻怀念tony的同时看见小逗比帕克的成长蜕变，开怀又欣慰。神秘客的全影息技术科技视觉感墙裂，可惜是个反派猪。带上tony墨镜的小虫刚从未成年屌丝上升为有格局的救市英雄，就被撒墨水并且人肉了，于是就更期待新片里他将如何直面被揭穿和诬陷的。继承钢铁侠衣钵的小帕克，加油💪 附，今天一同观影的有幼年期小蜘蛛侠哦😉
H	(๑>؂<๑）
H	人生建议单身狗别看！！！
L	孩子喜欢看，我觉得很一般，剧情没多大意思
H	开局的致敬四个英雄真的一下让人感动，结局的两个彩蛋也让人充满对之后电影的期待。整个故事表现了小蜘蛛从幼稚向成熟改变，变得更有责任感，期待之后的表现。
L	超级恶心啊，就在不停炒钢铁侠的死，没脑子又没感情的小🕷️，真的看不下去，漫威历史上最烂的圈钱之作，能不能不要再消费钢铁侠了，专心拍spider的电影不好吗👎
H	很精彩，特效好厉害，第二个彩蛋真的等很久
H	有笑点，有反转
H	超级好看！！
H	至始至终，就为了看简和小蜘蛛的 💑
H	准备二刷去！
M	作为钢铁侠的粉丝。表示就那样。还是喜欢铁钢铁侠
H	好看，推荐一下
H	完美好的很啊
H	大爱漫威，大爱蜘蛛侠
H	为成长的小蜘蛛点赞
H	必须！满星！！！留下这么大的彩蛋！！！！好期待！！
H	还好，特效不错，剧情诙谐幽默
L	不好看，，，蜘蛛人泡妞的，，，，
H	一开始还怕会不好看，因为他们很多人的评价都说，差评就评分很不好。但是自己还是为了情怀去看了，发现真的是就是好看。里面的故事情节也非常的符合小蜘蛛电影的风格。非常好非常好!
H	蜘蛛侠二，对于看过漫威之前的人来说还不错，但对于如果从来没看过的人来说是根本看不懂，特别是整片对于钢铁侠的怀恋的感情。
M	接受不了。怎么是这样
H	剧情，特效，都很棒，唯一不足荷兰弟有些矮
H	🕷以此纪念斯坦李、
H	超赞的！还要二刷！
H	影片剧情丰富，情节与复联四紧密相连，发展跌宕起伏不断扣人心弦。但是结尾和彩蛋没看懂挺烧脑的ヾ(❀╹◡╹)ﾉ~
H	喜欢剧情 大爱夜猴侠
H	可以，蛮不错的！非常棒！
H	会让人感动，怀念，还有发笑
H	特效没得说，nb
H	好刚好还好还好哈
H	开头彩蛋，致敬逝去的复仇者，看的心里超级舒服，当然电影也是很好看的，加油，小蜘蛛，钢铁侠的继承人
H	英雄不朽。完美
H	一个大反转，一部好电影。无可挑剔，唯一不好的地方就在于整部影片都在补刀。而且…没有斯坦李老爷子的客串了
H	剧情丰富我jio得可以排漫威前三。
L	很一般的剧情
H	不错，很有特点
M	有点小失望，有时说期望越大，失望就越大，以为能带给我们一点惊喜，却没想到影片是这种水平，剧情一般，特效一般，没什么看点。
H	啊啊啊啊啊啊啊啊啊啊荷兰弟被坑了，怎么办怎么办，还有第二个彩蛋到底是好是坏？
H	以意想不到的方式超出人的预期，完美展现视听语言的魅力之处！
H	整体不错，就是开头，感觉像都死了一样，虽然他们都死了😂😂😂
